"evt","perceived_at","game_id","season","day","player_id","player_name"
"Rogue Umpire tried to incinerate Firefighters hitter Justice Spoon, but Justice Spoon ate the flame! They became Magmatic!","2020-10-15 09:20:41.111227","5982f0d5-caca-49ed-bdcf-243b4f58c3d4",9,64,"43d5da5f-c6a1-42f1-ab7f-50ea956b6cd5","Justice Spoon"
"Rogue Umpire tried to incinerate Dale hitter Caleb Novak, but Caleb Novak ate the flame! They became Magmatic!","2020-10-15 13:03:28.110817","9b85b74c-01c3-4005-95e3-2325c83de8ca",9,68,"0eddd056-9d72-4804-bd60-53144b785d5c","Caleb Novak"
"Rogue Umpire tried to incinerate Flowers hitter Margarito Nava, but Margarito Nava ate the flame! They became Magmatic!","2020-10-15 13:06:44.104103","add373a9-5379-4049-a7f3-5cbf8e02b82f",9,68,"718dea1a-d9a8-4c2b-933a-f0667b5250e6","Margarito Nava"
"Rogue Umpire tried to incinerate Tacos hitter Basilio Fig, but Basilio Fig ate the flame! They became Magmatic!","2020-10-15 13:07:34.613074","0b93815b-1fc3-4168-85af-cccf67c0a547",9,68,"c755efce-d04d-4e00-b5c1-d801070d3808","Basilio Fig"
"Rogue Umpire tried to incinerate Steaks hitter August Sky, but August Sky ate the flame! They became Magmatic!","2020-10-15 15:06:18.616968","79fb8d00-f5b7-44ce-8409-b49bfc37fcbb",9,70,"ae81e172-801a-4236-929a-b990fc7190ce","August Sky"
"Rogue Umpire tried to incinerate Shoe Thieves hitter Velasquez Alstott, but Velasquez Alstott ate the flame! They became Magmatic!","2020-10-15 15:13:52.616622","d78ca2dc-1a71-4cdb-bab5-bbf2f3dadfb8",9,70,"4ca52626-58cd-449d-88bb-f6d631588640","Velasquez Alstott"
"Rogue Umpire tried to incinerate Garages hitter Malik Destiny, but Malik Destiny ate the flame! They became Magmatic!","2020-10-15 17:14:07.615215","f4398766-4f34-4bee-b443-4b448e028475",9,72,"1301ee81-406e-43d9-b2bb-55ca6e0f7765","Malik Destiny"
"Rogue Umpire tried to incinerate Moist Talkers hitter Fish Summer, but Fish Summer ate the flame! They became Magmatic!","2020-10-15 18:18:35.614563","47a8a5fa-b982-4284-9727-e5d694f88370",9,73,"d89da2d2-674c-4b85-8959-a4bd406f760a","Fish Summer"
"Rogue Umpire tried to incinerate Dale hitter Caleb Novak, but Caleb Novak ate the flame! They became Magmatic!","2020-10-15 21:21:06.253894","3defad64-ba16-44c4-a9dd-e1ea3ceb68fc",9,76,"0eddd056-9d72-4804-bd60-53144b785d5c","Caleb Novak"
"Rogue Umpire tried to incinerate Lovers hitter Ortiz Lopez, but Ortiz Lopez ate the flame! They became Magmatic!","2020-10-16 09:03:37.607026","f2ed4217-3a00-4662-a7a7-c3f3eda1109a",9,88,"2b157c5c-9a6a-45a6-858f-bf4cf4cbc0bd","Ortiz Lopez"
"Rogue Umpire tried to incinerate Flowers hitter Margarito Nava, but Margarito Nava ate the flame! They became Magmatic!","2020-10-16 09:06:09.608452","302d2153-7285-480f-a24b-7fb8550de0ce",9,88,"718dea1a-d9a8-4c2b-933a-f0667b5250e6","Margarito Nava"
"Rogue Umpire tried to incinerate Millennials hitter Andrew Solis, but Andrew Solis ate the flame! They became Magmatic!","2020-10-16 12:09:20.108339","e994446f-93ad-428a-9afe-1d34e90a6a95",9,91,"f38c5d80-093f-46eb-99d6-942aa45cd921","Andrew Solis"
"Rogue Umpire tried to incinerate Shoe Thieves hitter Velasquez Alstott, but Velasquez Alstott ate the flame! They became Magmatic!","2020-10-16 12:22:25.607244","4771faa3-5823-45c2-8a1f-0d269eccaf58",9,91,"4ca52626-58cd-449d-88bb-f6d631588640","Velasquez Alstott"
"Rogue Umpire tried to incinerate Magic hitter Wyatt Glover, but Wyatt Glover ate the flame! They became Magmatic!","2020-10-16 13:04:38.143587","f5277389-9dbc-4333-b161-106158257998",9,92,"e16c3f28-eecd-4571-be1a-606bbac36b2b","Wyatt Glover"
"Rogue Umpire tried to incinerate Fridays hitter Christian Combs, but Christian Combs ate the flame! They became Magmatic!","2020-10-16 15:14:08.610863","cf1c0c79-876e-4443-9fa9-f4c84401599c",9,94,"9ac2e7c5-5a34-4738-98d8-9f917bc6d119","Christian Combs"
"Rogue Umpire tried to incinerate Fridays hitter Christian Combs, but Christian Combs ate the flame! They became Magmatic!","2020-10-16 15:19:02.624732","cf1c0c79-876e-4443-9fa9-f4c84401599c",9,94,"9ac2e7c5-5a34-4738-98d8-9f917bc6d119","Christian Combs"
"Rogue Umpire tried to incinerate Flowers hitter Margarito Nava, but Margarito Nava ate the flame! They became Magmatic!","2020-10-16 17:15:33.615779","597d8e9f-b16e-4299-8bf0-8ea74ba6ee69",9,96,"718dea1a-d9a8-4c2b-933a-f0667b5250e6","Margarito Nava"
"Rogue Umpire tried to incinerate Steaks hitter August Sky, but August Sky ate the flame! They became Magmatic!","2020-10-16 19:02:24.607596","be245f4c-17d3-40d5-97a6-644db9ea8da6",9,98,"ae81e172-801a-4236-929a-b990fc7190ce","August Sky"
"Rogue Umpire tried to incinerate Magic hitter Wyatt Glover, but Wyatt Glover ate the flame! They became Magmatic!","2020-10-16 19:24:43.106858","0ef93bfb-838b-4844-a8b8-bbf4156e5885",9,98,"e16c3f28-eecd-4571-be1a-606bbac36b2b","Wyatt Glover"
"Rogue Umpire tried to incinerate Spies hitter Reese Clark, but Reese Clark ate the flame! They became Magmatic!","2020-10-17 16:17:30.605452","32403ed1-32c4-4993-9f46-9982160684e5",9,104,"503a235f-9fa6-41b5-8514-9475c944273f","Reese Clark"
