"evt","perceived_at","game_id","season","day","drainer_id","drainer_name","drained_id","drained_name"
"The Blooddrain gurgled! Kennedy Meh siphoned some of Aldon Cashmoney's defensive ability!","2020-09-24 00:21:26.132129","cb4db2e8-4f0a-4513-953b-d8f46631ff62",7,56,"23110c0f-2cf9-4d9c-ab2d-634f2f18867e","Kennedy Meh","efafe75e-2f00-4418-914c-9b6675d39264","Aldon Cashmoney"
"The Blooddrain gurgled! Ron Monstera siphoned some of Winnie Hess's pitching ability!","2020-09-24 01:23:12.12089","079a1c2e-6807-456b-ba6b-a4addf92370f",7,57,"41949d4d-b151-4f46-8bf7-73119a48fac8","Ron Monstera","f2a27a7e-bf04-4d31-86f5-16bfa3addbe7","Winnie Hess"
"The Blooddrain gurgled! Leach Herman siphoned some of Beasley Day's pitching ability!","2020-09-24 03:06:55.107311","a97905c9-b4af-4d03-ada9-3cbcb422a013",7,59,"b7ca8f3f-2fdc-477b-84f4-157f2802e9b5","Leach Herman","26cfccf2-850e-43eb-b085-ff73ad0749b8","Beasley Day"
"The Blooddrain gurgled! Holden Stanton siphoned some of Adalberto Tosser's hitting ability!","2020-09-24 11:22:16.128694","41b5f1ad-9a40-4b75-8104-d9af6b99cc54",7,67,"817dee99-9ccf-4f41-84e3-dc9773237bc8","Holden Stanton","d0d7b8fe-bad8-481f-978e-cb659304ed49","Adalberto Tosser"
"The Blooddrain gurgled! Brock Forbes siphoned some of Hendricks Richardson's pitching ability!","2020-09-24 13:18:46.106185","71b6b23c-3b17-4d37-8eae-01dcecc2c42e",7,69,"97dfc1f6-ac94-4cdc-b0d5-1cb9f8984aa5","Brock Forbes","cf8e152e-2d27-4dcc-ba2b-68127de4e6a4","Hendricks Richardson"
"The Blooddrain gurgled! Pitching Machine siphoned some of Igneus Delacruz's pitching ability!","2020-09-24 17:20:06.118815","e4e9252e-6599-4fd7-a3c5-6fbcb8bd6cfa",7,73,"de21c97e-f575-43b7-8be7-ecc5d8c4eaff","Pitching Machine","4f69e8c2-b2a1-4e98-996a-ccf35ac844c5","Igneus Delacruz"
"The Blooddrain gurgled! Joshua Butt siphoned some of Jacob Haynes's defensive ability!","2020-09-24 17:36:20.115613","ef5f034f-03e9-4203-a53d-a31b256694cb",7,73,"69196296-f652-42ff-b2ca-0d9b50bd9b7b","Joshua Butt","51c5473a-7545-4a9a-920d-d9b718d0e8d1","Jacob Haynes"
"The Blooddrain gurgled! Thomas Dracaena siphoned some of Sexton Wheerer's hitting ability!","2020-09-24 21:17:05.118179","2e02d86f-3045-4676-9402-371fcada04f0",7,77,"4b3e8e9b-6de1-4840-8751-b1fb45dc5605","Thomas Dracaena","0bb35615-63f2-4492-80ec-b6b322dc5450","Sexton Wheerer"
"The Blooddrain gurgled! Helga Moreno siphoned some of Conrad Vaughan's defensive ability!","2020-09-24 22:00:24.028083","7bb08972-5dca-4ffe-8e63-8ab01353cb57",7,78,"0eea4a48-c84b-4538-97e7-3303671934d2","Helga Moreno","5dbf11c0-994a-4482-bd1e-99379148ee45","Conrad Vaughan"
"The Blooddrain gurgled! Justice Spoon siphoned some of Lowe Forbes's hitting ability!","2020-09-25 05:04:18.609773","d0714e45-7b1e-420b-825e-c8d696ac1fd2",7,85,"43d5da5f-c6a1-42f1-ab7f-50ea956b6cd5","Justice Spoon","b348c037-eefc-4b81-8edd-dfa96188a97e","Lowe Forbes"
"The Blooddrain gurgled! Fitzgerald Blackburn siphoned some of Pitching Machine's hitting ability!","2020-09-25 05:13:42.607707","aa0639ae-5641-43b4-936a-69e21747d99a",7,85,"8ecea7e0-b1fb-4b74-8c8c-3271cb54f659","Fitzgerald Blackburn","de21c97e-f575-43b7-8be7-ecc5d8c4eaff","Pitching Machine"
"The Blooddrain gurgled! Yeong-Ho Benitez siphoned some of Sixpack Dogwalker's baserunning ability!","2020-09-25 07:21:26.608094","d8f297d7-c0b5-49c4-95f0-d7889bd4c87b",7,87,"ecb8d2f5-4ff5-4890-9693-5654e00055f6","Yeong-Ho Benitez","3a96d76a-c508-45a0-94a0-8f64cd6beeb4","Sixpack Dogwalker"
"The Blooddrain gurgled! Sixpack Santiago siphoned some of Jacob Haynes's pitching ability!","2020-09-25 09:11:26.606989","5ee724f7-3d98-44c6-8636-a9086f5b8f67",7,89,"a38ada0a-aeac-4a3d-b9a5-968687ccd2f9","Sixpack Santiago","51c5473a-7545-4a9a-920d-d9b718d0e8d1","Jacob Haynes"
"The Blooddrain gurgled! Yong Wright siphoned some of Kennedy Loser's defensive ability!","2020-10-05 18:18:51.109603","b7815910-48ea-489f-950b-4de207965796",8,2,"ce0e57a7-89f5-41ea-80f9-6e649dd54089","Yong Wright","84a2b5f6-4955-4007-9299-3d35ae7135d3","Kennedy Loser"
"The Blooddrain gurgled! Baby Urlacher siphoned some of Tamara Crankit's defensive ability!","2020-10-05 22:10:01.503849","b379261e-f8ce-4067-89b4-40ee5e6fa50e",8,6,"ad8d15f4-e041-4a12-a10e-901e6285fdc5","Baby Urlacher","0f61d948-4f0c-4550-8410-ae1c7f9f5613","Tamara Crankit"
"The Blooddrain gurgled! Pedro Davids siphoned some of Mcdowell Mason's baserunning ability!","2020-10-06 01:18:41.112188","0e741607-56e3-4fd3-9fbe-9682d84e4086",8,9,"1a93a2d2-b5b6-479b-a595-703e4a2f3885","Pedro Davids","63df8701-1871-4987-87d7-b55d4f1df2e9","Mcdowell Mason"
"The Blooddrain gurgled! Luis Acevedo siphoned some of Vito Kravitz's hitting ability!","2020-10-06 01:20:37.114815","0e741607-56e3-4fd3-9fbe-9682d84e4086",8,9,"425f3f84-bab0-4cf2-91c1-96e78cf5cd02","Luis Acevedo","2e13249e-38ff-46a2-a55e-d15fa692468a","Vito Kravitz"
"The Blooddrain gurgled! Hendricks Richardson siphoned some of Justice Spoon's baserunning ability!","2020-10-06 15:10:17.128132","01d2a55d-4ed7-440d-8c64-f2c0a0dfbc25",8,23,"cf8e152e-2d27-4dcc-ba2b-68127de4e6a4","Hendricks Richardson","43d5da5f-c6a1-42f1-ab7f-50ea956b6cd5","Justice Spoon"
"The Blooddrain gurgled! Burke Gonzales siphoned some of Baby Doyle's pitching ability!","2020-10-07 13:16:53.612828","e583b752-5650-4071-ab25-7a7a703e0484",8,45,"65273615-22d5-4df1-9a73-707b23e828d5","Burke Gonzales","678170e4-0688-436d-a02d-c0467f9af8c0","Baby Doyle"
"The Blooddrain gurgled! Lowe Forbes siphoned some of Montgomery Bullock's pitching ability!","2020-10-09 16:23:17.108305","e234128d-1da8-4b80-96e7-fb0058e1e63a",8,96,"b348c037-eefc-4b81-8edd-dfa96188a97e","Lowe Forbes","1ffb1153-909d-44c7-9df1-6ed3a9a45bbd","Montgomery Bullock"
