"team_roster_id","team_id","position_id","valid_from","valid_until","player_id","position_type_id","tournament"
43029,"8d87c468-699a-47a8-b40d-cfb73a5660ad",6,"2021-07-20 19:27:39.83053","2021-07-23 07:25:05.392982","4e63cb5d-4fce-441b-b9e4-dc6a467cf2fd","0",-1
41997,"8d87c468-699a-47a8-b40d-cfb73a5660ad",16,"2021-07-02 17:22:48.245301","2021-07-23 07:25:05.392982","a3ea0e93-c9f5-4f85-8acd-c3c5ce8601fa","4",-1
43172,"747b8e4a-7e50-4638-a973-ea7950a3e739",1,"2021-07-21 12:32:34.510604","2021-07-23 08:20:24.090304","1db2f602-64b1-4a5c-8697-1932cc2c6df1","1",-1
42967,"747b8e4a-7e50-4638-a973-ea7950a3e739",26,"2021-07-20 02:31:00.254183","2021-07-23 08:20:24.090304","37061380-ac95-4018-854e-c308073945e9","4",-1
43438,"3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e",3,"2021-07-23 04:13:23.783399","2021-07-23 08:24:19.833201","2da49de2-34e5-49d0-b752-af2a2ee061be","1",-1
43439,"3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e",14,"2021-07-23 04:13:23.783399","2021-07-23 08:24:19.833201","ff5a37d9-a6dd-49aa-b6fb-b935fd670820","4",-1
43338,"b024e975-1c4a-4575-8936-a3754a08806a",5,"2021-07-22 20:22:33.974506","2021-07-23 08:28:40.439401","17397256-c28c-4cad-85f2-a21768c66e67","0",-1
43339,"b024e975-1c4a-4575-8936-a3754a08806a",8,"2021-07-22 20:22:33.974506","2021-07-23 08:28:40.439401","6fa08e08-6a95-4fbc-9d00-5c39c5302b60","4",-1
43357,"57ec08cc-0411-4643-b304-0e80dbc15ac7",19,"2021-07-22 21:12:36.446659","2021-07-23 08:30:55.738415","87f5c53a-46fe-41a6-b3f7-7d3dc90ac1bf","4",-1
42984,"46358869-dce9-4a01-bfba-ac24fc56f57e",1,"2021-07-20 04:22:47.135961","2021-07-23 09:20:58.034352","888fce7a-0d21-478a-9b45-4662193fe9aa","1",-1
43443,"46358869-dce9-4a01-bfba-ac24fc56f57e",17,"2021-07-23 04:32:32.236902","2021-07-23 09:20:58.034352","b629cb7a-414b-4695-a115-7528ab700346","4",-1
43435,"bfd38797-8404-4b38-8b82-341da28b1f83",3,"2021-07-23 04:04:27.589049","2021-07-23 10:04:59.647716","34267632-8c32-4a8b-b5e6-ce1568bb0639","0",-1
42714,"b63be8c2-576a-4d6e-8daf-814f8bcea96f",1,"2021-07-04 18:01:28.925671","2021-07-23 10:07:29.978101","0eddd056-9d72-4804-bd60-53144b785d5c","1",-1
43048,"b63be8c2-576a-4d6e-8daf-814f8bcea96f",12,"2021-07-21 02:28:51.984139","2021-07-23 10:07:29.978101","489cc1ce-82df-4fad-867d-de7d9822fedc","4",-1
38978,"3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e",1,"2021-04-20 15:01:47.085415","2021-07-23 10:11:30.687734","8cd06abf-be10-4a35-a3ab-1a408a329147","1",-1
43455,"3f8bbb15-61c0-4e3f-8e4a-907a5fb1565e",14,"2021-07-23 08:24:19.833201","2021-07-23 10:11:30.687734","2da49de2-34e5-49d0-b752-af2a2ee061be","4",-1
43378,"46358869-dce9-4a01-bfba-ac24fc56f57e",0,"2021-07-23 01:22:05.34509","2021-07-23 10:12:55.908307","266abcc0-8abc-4570-b32e-e5668e5d38f3","1",-1
43460,"46358869-dce9-4a01-bfba-ac24fc56f57e",17,"2021-07-23 09:20:58.034352","2021-07-23 10:12:55.908307","888fce7a-0d21-478a-9b45-4662193fe9aa","4",-1
41947,"57ec08cc-0411-4643-b304-0e80dbc15ac7",4,"2021-07-02 13:38:23.808027","2021-07-23 10:28:58.282108","df94a335-1677-4200-a23f-d794689a5732","4",-1
41967,"57ec08cc-0411-4643-b304-0e80dbc15ac7",5,"2021-07-02 14:31:26.357581","2021-07-23 10:28:58.282108","c9a22fa4-1721-4eef-a1a6-620cdf7d377f","4",-1
41968,"57ec08cc-0411-4643-b304-0e80dbc15ac7",6,"2021-07-02 14:31:26.357581","2021-07-23 10:28:58.282108","1448f1f3-d76f-45c1-a5c1-54f22544000b","4",-1
42216,"57ec08cc-0411-4643-b304-0e80dbc15ac7",8,"2021-07-04 18:01:08.925421","2021-07-23 10:28:58.282108","e919dfae-91c3-475c-b5d5-8b0c14940c41","4",-1
42217,"57ec08cc-0411-4643-b304-0e80dbc15ac7",9,"2021-07-04 18:01:08.925421","2021-07-23 10:28:58.282108","ceac785e-55fd-4a4e-9bc8-17a662a58a38","4",-1
42218,"57ec08cc-0411-4643-b304-0e80dbc15ac7",10,"2021-07-04 18:01:08.925421","2021-07-23 10:28:58.282108","ca709205-226d-4d92-8be6-5f7871f48e26","4",-1
42219,"57ec08cc-0411-4643-b304-0e80dbc15ac7",11,"2021-07-04 18:01:08.925421","2021-07-23 10:28:58.282108","6bd4cf6e-fefe-499a-aa7a-890bcc7b53fa","4",-1
42220,"57ec08cc-0411-4643-b304-0e80dbc15ac7",12,"2021-07-04 18:01:08.925421","2021-07-23 10:28:58.282108","094ad9a1-e2c7-49a0-af18-da0e3eb656ba","4",-1
42221,"57ec08cc-0411-4643-b304-0e80dbc15ac7",13,"2021-07-04 18:01:08.925421","2021-07-23 10:28:58.282108","19af0d67-c73b-4ef2-bc84-e923c1336db5","4",-1
43363,"57ec08cc-0411-4643-b304-0e80dbc15ac7",14,"2021-07-22 21:31:19.577419","2021-07-23 10:28:58.282108","ad1e670a-f346-4bf7-a02f-a91649c41ccb","4",-1
43492,"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5",1,"2021-07-23 12:26:20.684732","2021-07-27 04:16:04.897877","cc933b79-9218-4693-8172-f23d4eaccdf7","1",-1
42223,"57ec08cc-0411-4643-b304-0e80dbc15ac7",15,"2021-07-04 18:01:08.925421","2021-07-23 10:28:58.282108","b9a8894f-8c5a-449b-bc98-170148ba8a94","4",-1
43478,"57ec08cc-0411-4643-b304-0e80dbc15ac7",13,"2021-07-23 10:28:58.282108","2021-07-27 07:20:13.326642","ad1e670a-f346-4bf7-a02f-a91649c41ccb","4",-1
43225,"57ec08cc-0411-4643-b304-0e80dbc15ac7",16,"2021-07-21 22:17:37.827003","2021-07-23 10:28:58.282108","7f3f2e75-900e-40b6-846b-db585541490d","4",-1
43484,"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5",0,"2021-07-23 11:22:11.639185","2021-07-27 11:22:41.285244","fcb08e4f-df3a-446c-ab50-58a496ac5f3f","1",-1
